Couche,IP0,,,,,IP1,,,,,OP,,,,,
3,,,,,,2.250536868389649392e+00, 2.756306444467248262e+00, 4.362018866898489833e+00, 8.825637794550765136e+00, 9.867092007050807467e+00,2.340992720992479903e+00, 6.193557945027329481e+00, 9.059680027036296934e+00, 1.068020163295615887e+01, 1.369297292679706679e+01
4,,,,,,1.757178156959633863e+00, 2.260583867468855868e+00, 3.435071680379777170e+00, 4.082466844596233102e+00, 4.860207879163231937e+00,1.813636701788332806e+00, 5.427661860491344470e+00, 8.018057737432947363e+00, 1.099046188199940843e+01, 1.384523486778262757e+01
5,1.306148028404237937e+00, 2.030679578789777118e+00, 2.427466616350892004e+00, 2.870093814579164349e+00, 3.219687698277656107e+00,1.411297992585566430e+00, 2.205109061813323557e+00, 2.738344408052951984e+00, 3.453137416642479973e+00, 4.128232147007560471e+00,1.543576644148693777e+00, 4.338162108982325904e+00, 7.409357290046245659e+00, 1.019225487587897838e+01, 1.299011713227817566e+01
