Couche,IP0,,,,,IP1,,,,,OP,,,,,
3,,,,,,5.686283000000000255e-05, 1.807590100000000026e-05, 6.607128500000000043e-04, 8.342774100000000643e-05, 6.444788499999999642e-02,9.973360899999999998e-04, 7.322268499999999569e-02, 8.146859500000000476e-02, 8.253669399999999379e-02, 8.281888699999999381e-02
4,,,,,,7.946966800000000025e-04, 2.542806500000000056e-03, 4.770954699999999907e-04, 8.259617599999999468e-04, 6.391736000000000292e-03,6.091337399999999539e-04, 7.301054799999999456e-02, 8.133639300000000683e-02, 8.328509200000000501e-02, 8.331437499999999607e-02
5,5.197921800000000124e-05, 3.143283699999999885e-04, 4.332320799999999804e-04, 5.454422800000000059e-04, 5.264906200000000255e-04,3.645098800000000101e-04, 4.143822900000000112e-04, 5.163853699999999955e-04, 8.046489000000000202e-04, 3.404996899999999742e-04,1.190945500000000065e-04, 7.529874200000000184e-02, 8.084783700000000572e-02, 8.332894500000000149e-02, 8.344057700000000188e-02
