Couche,IP0,,,,,IP1,,,,,OP,,,,,
3,,,,,,2.755071645998458774e+00, 3.467716798632350717e+00, 5.658476385282622090e+00, 8.267758459214723743e+00, 8.545203434039065016e+00, 2.322849234300546239e+00, 5.428927001315614120e+00, 8.101525597493163033e+00, 1.014835007531411648e+01, 1.128090701649731464e+01
4,,,,,,7.918790897925119809e-01, 2.477335293292611595e+00, 3.235326792868266299e+00, 6.586518141852084618e+00, 6.879783840463836064e+00, 7.631554900042429868e-01, 4.452100944358113210e+00, 7.533064429206761226e+00, 8.010318223808761573e+00, 9.453165132510456203e+00
5, 6.322049336609516512e-01, 2.322874001716742853e+00, 2.319109319482478337e+00, 2.674998710590048567e+00, 2.712440162128771703e+00, 7.036210211868193509e-01, 2.578294671502454616e+00, 2.747550418103242631e+00, 3.404721932749990465e+00, 3.580281209633137784e+00, 7.217687029789611186e-01, 2.988280589413931487e+00, 6.931024558533696478e+00, 9.297331434404149775e+00, 1.042537075728450979e+01
